YearMonth,front_1_select,front_2_select,front_3_select,front_4_select,front_5_select,front_6_select,front_7_select,front_8_select,front_9_select,front_10_select,front_11_select,front_12_select,front_13_select,front_14_select,front_15_select,back_1_select,back_2_select,back_3_select,back_4_select,back_5_select,back_6_select,back_7_select,back_8_select,back_9_select,back_10_select,back_11_select,back_12_select,back_13_select,back_14_select,back_15_select
2021-07,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,IEF,IEF,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,IEF,IEF,LQD,SPY,LQD,LQD,LQD
2021-08,IEF,LQD,LQD,LQD,SHY,IEF,SHY,IEF,SHY,LQD,LQD,SHY,LQD,LQD,LQD,SPY,LQD,LQD,SHY,SPY,LQD,LQD,LQD,LQD,SHY,LQD,LQD,LQD,LQD,IEF
2021-09,LQD,LQD,SHY,SHY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,LQD,EFA,EFA,SHY,SHY,SHY,LQD,LQD,EFA,EFA,EFA,SPY,SPY,SPY,SPY,SPY,SPY,SPY
2021-10,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SPY,SPY,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2021-11,LQD,LQD,LQD,SPY,SPY,SPY,SPY,SPY,LQD,LQD,SHY,SHY,LQD,LQD,LQD,IEF,IEF,IEF,SHY,SHY,LQD,LQD,LQD,LQD,SHY,SHY,LQD,LQD,SPY,SPY
2021-12,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2022-01,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-02,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-03,IEF,SHY,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2022-04,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
