YearMonth,front_1_select,front_2_select,front_3_select,front_4_select,front_5_select,front_6_select,front_7_select,front_8_select,front_9_select,front_10_select,front_11_select,front_12_select,front_13_select,front_14_select,front_15_select,back_1_select,back_2_select,back_3_select,back_4_select,back_5_select,back_6_select,back_7_select,back_8_select,back_9_select,back_10_select,back_11_select,back_12_select,back_13_select,back_14_select,back_15_select
2015-12,LQD,LQD,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2016-01,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2016-02,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2016-03,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2016-04,EEM,SPY,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,LQD,LQD,EFA,EFA,EFA,EFA,EFA,EFA,SPY,SPY,SPY,EEM,EEM,LQD,LQD
2016-05,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,LQD,LQD
2016-06,IEF,LQD,SPY,EEM,EEM,EEM,EEM,LQD,IEF,IEF,IEF,IEF,LQD,EEM,EEM,LQD,LQD,IEF,IEF,IEF,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF,LQD,LQD
2016-07,LQD,LQD,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM,LQD,LQD,EEM,LQD,EEM,EEM,EEM,EEM,EEM,LQD
2016-08,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2016-09,EEM,EEM,EEM,EEM,EEM,LQD,EEM,LQD,LQD,SHY,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,SHY,LQD,LQD,LQD,SHY,EEM
2016-10,EEM,EEM,SHY,LQD,LQD,EEM,LQD,EEM,LQD,LQD,LQD,EEM,LQD,LQD,LQD,SHY,SHY,SHY,SHY,LQD,LQD,LQD,LQD,EEM,EEM,LQD,LQD,LQD,EEM,LQD
2016-11,SHY,SHY,SHY,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2016-12,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,SPY,LQD,LQD,LQD,LQD,SHY,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2017-01,SPY,SPY,EFA,SPY,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2017-02,SHY,SHY,SHY,SHY,LQD,EEM,SHY,SHY,LQD,SHY,LQD,EEM,EEM,LQD,EEM,SPY,SPY,SPY,EEM,EEM,EEM,LQD,LQD,LQD,LQD,SHY,EEM,SHY,EEM,LQD
2017-03,SPY,LQD,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,EEM,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY
2017-04,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,AGG,AGG,SPY,SPY,EFA,EFA,EFA,EFA,EFA,SPY,SPY,SPY,LQD,SPY,SPY,EEM,EEM,EFA,EEM,EEM
2017-05,EFA,EFA,EFA,EFA,EFA,EFA,LQD,LQD,LQD,EEM,LQD,EEM,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EFA
2017-06,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,SPY,EFA,SPY,EEM,SPY,EEM,EFA,EFA,EEM,EEM,EEM,EEM,SPY,EEM,SPY,EFA,SPY,EFA,EFA,EEM
2017-07,EEM,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM,LQD,LQD,LQD,EEM,LQD
2017-08,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EEM,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2017-09,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,LQD,SPY,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2017-10,LQD,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,LQD,EEM,EEM,EEM,LQD,LQD,LQD,SPY,LQD,SPY,EEM,EEM,EEM,EEM,EEM,LQD
2017-11,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SHY,SPY,EEM,EEM,EEM,EEM,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SHY,EEM,EEM
2017-12,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EEM,EEM,SPY,SPY,LQD,LQD,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
2018-01,EEM,EEM,EEM,EEM,EEM,LQD,LQD,EEM,LQD,LQD,LQD,SHY,LQD,LQD,LQD,SHY,SHY,SHY,LQD,EEM,LQD,LQD,SHY,SHY,SHY,LQD,LQD,LQD,LQD,LQD
2018-02,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2018-03,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,SPY,SHY,SHY,EEM,EEM,IEF,IEF,IEF,SHY,IEF,IEF,SHY,SHY,IEF,SPY,SHY,EEM,SHY,SHY,SHY
2018-04,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD
2018-05,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2018-06,SPY,SPY,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY
2018-07,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,IEF,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,IEF,LQD,LQD,IEF
2018-08,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SHY,SHY,LQD,LQD,LQD,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SHY,SHY
