Date,SPY,EFA,EEM,AGG,LQD,IEF,SHY
2020-08-20,338.279998779297,64.75,44.060001373291,118.559997558594,136.199996948242,122.029998779297,86.5199966430664
2020-08-21,339.480010986328,64.4199981689453,44.2799987792969,118.680000305176,136.449996948242,122.120002746582,86.5100021362305
2020-08-24,342.920013427734,65.2699966430664,44.7700004577637,118.629997253418,136.210006713867,121.949996948242,86.5
2020-08-25,344.119995117188,65.3099975585938,45.2200012207031,118.379997253418,135.619995117188,121.660003662109,86.5100021362305
2020-08-26,347.570007324219,65.6900024414062,45.3400001525879,118.360000610352,135.669998168945,121.610000610352,86.5100021362305
2020-08-27,348.329986572266,65.0199966430664,44.9599990844727,117.949996948242,134.589996337891,121.180000305176,86.5
2020-08-28,350.579986572266,65.4800033569336,45.5499992370605,118.110000610352,135,121.379997253418,86.5299987792969
2020-08-31,349.309997558594,64.9800033569336,44.5400009155273,118.370002746582,135.600006103516,121.51000213623,86.5599975585938
2020-09-01,352.600006103516,65.0500030517578,45.2999992370605,118.419998168945,136.160003662109,121.819999694824,86.4899978637695
2020-09-02,357.700012207031,65.9199981689453,45.1800003051758,118.660003662109,136.699996948242,121.98999786377,86.5
2020-09-03,345.390014648438,64.4300003051758,44.3199996948242,118.690002441406,136.399993896484,122.150001525879,86.4899978637695
2020-09-04,342.570007324219,64.5199966430664,44.3400001525879,118.099998474121,134.949996948242,121.470001220703,86.4599990844727
2020-09-08,333.209991455078,63.7299995422363,43.5699996948242,118.230003356934,135.080001831055,121.730003356934,86.4700012207031
2020-09-09,339.790008544922,64.9199981689453,44.2200012207031,118.220001220703,135.169998168945,121.669998168945,86.4800033569336
2020-09-10,333.890014648438,64.1600036621094,43.5099983215332,118.230003356934,135.270004272461,121.819999694824,86.4700012207031
2020-09-11,334.059997558594,64.8000030517578,43.9300003051758,118.370002746582,135.369995117188,122.01000213623,86.4899978637695
2020-09-14,338.459991455078,65.1500015258789,44.6399993896484,118.379997253418,135.710006713867,121.900001525879,86.4800033569336
2020-09-15,340.170013427734,65.5699996948242,45.1100006103516,118.389999389648,135.860000610352,121.839996337891,86.4899978637695
2020-09-16,338.820007324219,65.5699996948242,45.0499992370605,118.330001831055,135.949996948242,121.769996643066,86.5
