Params,Name,Value1,Value2
"(0, 10, 70, 100)",front_4,6.45,0.11
"(0, 10, 80, 0)",front_10,6.05,0.11
"(0, 10, 80, 10)",back_10,6.42,0.11
"(0, 10, 80, 20)",back_8,6.18,0.11
"(0, 10, 80, 30)",front_10,6.91,0.12
"(0, 10, 80, 40)",front_10,6.4,0.11
"(0, 10, 80, 50)",front_10,6.89,0.12
"(0, 10, 80, 60)",front_10,6.79,0.12
"(0, 10, 80, 70)",back_13,5.82,0.11
"(0, 10, 80, 80)",back_3,6.13,0.11
"(0, 10, 80, 90)",back_3,5.81,0.11
"(0, 10, 80, 100)",back_3,6.15,0.11
"(0, 10, 90, 0)",front_10,6.2,0.11
"(0, 10, 90, 10)",back_10,6.43,0.11
"(0, 10, 90, 20)",back_13,6.11,0.11
"(0, 10, 90, 30)",front_10,7.11,0.12
"(0, 10, 90, 40)",front_10,6.85,0.12
"(0, 10, 90, 50)",front_10,7.23,0.12
"(0, 10, 90, 60)",front_10,6.63,0.11
"(0, 10, 90, 70)",front_10,6.72,0.11
"(0, 10, 90, 80)",back_13,5.82,0.11
"(0, 10, 90, 90)",back_3,6.07,0.11
"(0, 10, 90, 100)",back_3,5.81,0.11
"(0, 10, 100, 0)",front_10,6.08,0.11
"(0, 10, 100, 10)",front_10,7.58,0.12
"(0, 10, 100, 20)",front_14,6.06,0.11
"(0, 10, 100, 30)",front_11,6.62,0.12
"(0, 10, 100, 40)",front_10,7.75,0.12
"(0, 10, 100, 50)",front_10,7.36,0.12
"(0, 10, 100, 60)",front_10,7.45,0.12
"(0, 10, 100, 70)",front_10,6.83,0.12
"(0, 10, 100, 80)",front_10,6.31,0.11
"(0, 10, 100, 90)",back_13,5.82,0.11
"(0, 10, 100, 100)",back_3,6.07,0.11
"(0, 20, 0, 0)",back_6,6.76,0.12
"(0, 20, 0, 10)",back_5,10.99,0.14
"(0, 20, 0, 20)",back_5,9.97,0.13
"(0, 20, 0, 30)",back_3,9.23,0.13
"(0, 20, 0, 40)",front_9,9.32,0.13
"(0, 20, 0, 50)",front_9,9.21,0.13
"(0, 20, 0, 60)",front_9,9.35,0.13
"(0, 20, 0, 70)",front_9,10.11,0.14
"(0, 20, 0, 80)",front_9,10.02,0.13
"(0, 20, 0, 90)",front_9,9.78,0.13
"(0, 20, 0, 100)",front_9,9.52,0.13
"(0, 20, 10, 0)",back_8,7.54,0.12
"(0, 20, 10, 10)",back_3,9.92,0.13
"(0, 20, 10, 20)",back_4,10.13,0.13
"(0, 20, 10, 30)",front_7,8.54,0.12
"(0, 20, 10, 40)",front_8,8.5,0.13
"(0, 20, 10, 50)",front_8,8.65,0.13
"(0, 20, 10, 60)",front_9,9.13,0.13
"(0, 20, 10, 70)",front_9,9.45,0.13
"(0, 20, 10, 80)",front_9,8.95,0.13
"(0, 20, 10, 90)",front_9,8.31,0.13
"(0, 20, 10, 100)",front_9,8.42,0.13
"(0, 20, 20, 0)",back_2,7.51,0.12
"(0, 20, 20, 10)",back_3,9.87,0.13
"(0, 20, 20, 20)",back_3,7.67,0.12
"(0, 20, 20, 30)",back_9,8.67,0.13
"(0, 20, 20, 40)",front_2,8.32,0.12
"(0, 20, 20, 50)",front_4,8.36,0.12
"(0, 20, 20, 60)",front_4,8.63,0.13
"(0, 20, 20, 70)",front_4,8.29,0.12
"(0, 20, 20, 80)",front_9,7.82,0.12
"(0, 20, 20, 90)",front_9,8.08,0.12
"(0, 20, 20, 100)",front_9,8.26,0.13
"(0, 20, 30, 0)",front_2,6.57,0.11
"(0, 20, 30, 10)",front_11,7.83,0.12
"(0, 20, 30, 20)",back_3,7.26,0.12
"(0, 20, 30, 30)",back_3,8.47,0.13
"(0, 20, 30, 40)",back_9,8.02,0.13
"(0, 20, 30, 50)",front_4,7.61,0.12
"(0, 20, 30, 60)",front_4,7.82,0.12
"(0, 20, 30, 70)",front_4,7.67,0.12
"(0, 20, 30, 80)",front_4,8.07,0.12
"(0, 20, 30, 90)",front_4,8.75,0.13
"(0, 20, 30, 100)",front_4,9.07,0.13
"(0, 20, 40, 0)",back_15,6.11,0.11
"(0, 20, 40, 10)",back_3,6.81,0.11
"(0, 20, 40, 20)",front_10,7.58,0.12
"(0, 20, 40, 30)",back_3,8.4,0.13
"(0, 20, 40, 40)",back_9,7.83,0.12
"(0, 20, 40, 50)",back_3,8.35,0.13
"(0, 20, 40, 60)",back_3,7.4,0.12
"(0, 20, 40, 70)",front_4,7.69,0.12
"(0, 20, 40, 80)",front_4,7.49,0.12
"(0, 20, 40, 90)",front_4,8.4,0.12
"(0, 20, 40, 100)",front_4,8.88,0.13
"(0, 20, 50, 0)",back_8,5.63,0.11
"(0, 20, 50, 10)",front_11,7.14,0.12
"(0, 20, 50, 20)",front_10,8.27,0.12
"(0, 20, 50, 30)",front_10,6.99,0.12
"(0, 20, 50, 40)",back_3,8.4,0.13
"(0, 20, 50, 50)",back_3,7.21,0.12
